,_c0,Borough,startStationName,latitude,longitude,prediction,concat
0,1,Queens,21 St & Hoyt Ave S,40.774645,-73.923706,999,Queens999
1,2,Queens,Jackson Ave & 46 Rd,40.745248,-73.947332,999,Queens999
2,3,Bronx,Wilkins Ave & Crotona Park E,40.835302,-73.895133,999,Bronx999
3,8,Bronx,Fulton Ave & St. Paul's Pl,40.83545,-73.90153,999,Bronx999
4,16,Bronx,Willis Ave & E 137 St,40.809,-73.923,999,Bronx999
5,24,Bronx,E 150 St & Gerard Ave,40.820089,-73.928947,999,Bronx999
6,36,Bronx,Brook Ave & E 157 St,40.820713,-73.911759,999,Bronx999
7,37,Bronx,Westchester Ave & Southern Blvd,40.824956,-73.891677,999,Bronx999
8,39,Queens,Center Blvd & Borden Ave,40.74161,-73.96044,999,Queens999
9,44,Bronx,Longwood Ave & Southern Blvd,40.816343,-73.896447,999,Bronx999
10,46,Bronx,Grand Concourse & E 203 St,40.87382,-73.88661,999,Bronx999
11,59,Bronx,E 161 St & Park Ave,40.824811,-73.916407,999,Bronx999
12,64,Bronx,Grand Concourse & E 144 St,40.816576,-73.927987,999,Bronx999
13,65,Queens,Norman St & Wyckoff Ave,40.69517,-73.90311,999,Queens999
14,66,Queens,46 St & 30 Rd,40.76072,-73.910989,999,Queens999
15,69,Queens,31 St & 23 Ave,40.774788,-73.912555,999,Queens999
16,70,Bronx,Bergen Ave & E 152 St,40.817166,-73.914737,999,Bronx999
17,72,Bronx,E 170 St & Sheridan Ave,40.838315,-73.912604,999,Bronx999
18,73,Queens,Center Blvd & 48 Ave,40.746,-73.957539,999,Queens999
19,80,Queens,5 St & 51 Ave,40.742374,-73.9566,999,Queens999
20,84,Bronx,Lafayette Ave & Hunts Point Ave,40.816567,-73.888161,999,Bronx999
21,86,Queens,24 Ave & 26 St,40.774591,-73.918544,999,Queens999
22,88,Queens,44 Dr & Jackson Ave,40.74718234,-73.943263,999,Queens999
23,92,Bronx,St Mary's St & Jackson Ave,40.808891,-73.91081,999,Bronx999
24,94,Queens,31 St & Ditmars Blvd,40.776168,-73.910485,999,Queens999
25,101,Queens,Ditmars Blvd & 73 St,40.76817,-73.896293,999,Queens999
26,102,Queens,Vernon Blvd & 30 Rd,40.770845,-73.934171,999,Queens999
27,103,Bronx,Park Ave & E 162 St,40.825716,-73.915585,999,Bronx999
