,Borough,startStationName,startStationLatitude,startStationLongitude
0,Manhattan,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
1,Manhattan,W 44 St & 5 Ave,40.75500254,-73.98014437
2,Brooklyn,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
3,Bronx,Grand Concourse & E 171 St,40.839549,-73.913004
4,Manhattan,E 43 St & 5 Ave,40.755,-73.98
5,Manhattan,E 12 St & 3 Ave,40.732232,-73.988899
6,Manhattan,Grand St & Greene St,40.7217,-74.002381
7,Manhattan,W 18 St & 9 Ave,40.743533,-74.003675
8,Manhattan,E 115 St & Madison Ave,40.798945,-73.944846
9,Manhattan,E 53 St & Madison Ave,40.75971,-73.974023
10,Manhattan,St James Pl & Oliver St,40.71307916,-73.99851193
11,Manhattan,W 38 St & 8 Ave,40.75466591,-73.99138152
12,Bronx,E 170 St & Webster Ave,40.836103,-73.907199
13,Manhattan,W 54 St & 11 Ave,40.768333,-73.992573
14,Manhattan,9 Ave & W 45 St,40.760999999999996,-73.992
15,Manhattan,W 78 St & Broadway,40.78339981,-73.98093133
16,Brooklyn,Pacific St & Nevins St,40.685376,-73.983021
17,Manhattan,W 33 St & 7 Ave,40.750199,-73.99093
18,Manhattan,E 20 St & FDR Drive,40.733142,-73.975738
19,Queens,31 St & Astoria Blvd,40.769917,-73.918405
20,Brooklyn,Pioneer St & Richards St,40.677775,-74.009461
21,Brooklyn,10 St & 7 Ave,40.666208000000005,-73.981999
22,Brooklyn,Henry St & Atlantic Ave,40.690892,-73.996123
23,Queens,43 St & 23 Ave,40.769673,-73.906018
24,Manhattan,E 19 St & 3 Ave,40.736245000000004,-73.98473800000001
25,Queens,31 St & Hoyt Ave N,40.771153000000005,-73.917007
26,Manhattan,W 100 St & Broadway,40.797372100000004,-73.97041192
27,Brooklyn,Grove St & Broadway,40.69047,-73.923511
28,Queens,21 St & 38 Ave,40.7576314,-73.9391224
29,Brooklyn,Devoe St & Lorimer St,40.713,-73.95
30,Manhattan,W 36 St & 9 Ave,40.754622999999995,-73.99516700000001
31,Manhattan,E 1 St & 1 Ave,40.723356,-73.98865
32,Brooklyn,DeKalb Ave & Vanderbilt Ave,40.689407,-73.96885400000001
33,Manhattan,Morton St & Washington St,40.73115,-74.00887
34,Queens,47 Ave & Skillman Ave,40.743752,-73.941765
35,Manhattan,W 37 St & 5 Ave,40.75038009,-73.98338988
36,Brooklyn,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
37,Manhattan,Columbus Ave & W 95 St,40.7919557,-73.968087
38,Brooklyn,Hancock St & Bedford Ave,40.68216564,-73.95399026
39,Manhattan,W 171 St & St. Nicholas Ave,40.842940999999996,-73.938631
40,Bronx,E 156 & Brook Ave,40.819823,-73.91241099999999
41,Bronx,Grant Ave & E 169 St,40.83579,-73.913741
42,Manhattan,W 49 St & 8 Ave,40.760999999999996,-73.98899999999999
43,Brooklyn,Dock 72 Way & Market St,40.701,-73.971
44,Brooklyn,S Portland Ave & Hanson Pl,40.686,-73.97399999999999
45,Manhattan,W 13 St & 6 Ave,40.73649403,-73.99704374
46,Queens,Steinway St & Ditmars Blvd,40.772717,-73.906127
47,Manhattan,W 84 St & Columbus Ave,40.785,-73.97283399999999
48,Manhattan,Isham St & Broadway,40.86788,-73.919685
49,Queens,31 Ave & Crescent St,40.765834000000005,-73.926547
50,Brooklyn,Kent Ave & S 11 St,40.707645,-73.96841500000001
51,Queens,30 Ave & 41 St,40.763422,-73.914142
52,Bronx,Morris Ave & E 163 St,40.82723,-73.91765600000001
53,Manhattan,E 91 St & Park Ave,40.783502,-73.955327
54,Manhattan,E 59 St & Madison Ave,40.763505,-73.971092
55,Manhattan,E 39 St & 2 Ave,40.74780373,-73.97344190000001
56,Brooklyn,Clinton St & Union St,40.683116399999996,-73.99785267
57,Manhattan,E 53 St & Madison Ave,40.75971079999999,-73.97402311
58,Brooklyn,Halsey St & Tompkins Ave,40.683,-73.944
59,Manhattan,E 59 St & Madison Ave,40.764,-73.971
60,Manhattan,E 72 St & York Ave,40.766999999999996,-73.953
61,Manhattan,Avenue D & E 8 St,40.72368361,-73.97574813
62,Brooklyn,Union St & 4 Ave,40.677274,-73.98281999999999
63,Brooklyn,Baltic St & 5 Ave,40.679576000000004,-73.978549
64,Manhattan,Lafayette St & E 8 St,40.730207,-73.991026
65,Manhattan,Madison Ave & E 26 St,40.742684999999994,-73.986713
66,Brooklyn,DeKalb Ave & Franklin Ave,40.690647999999996,-73.95746199999999
67,Manhattan,MTL-ECO51-1,40.796170000000004,-73.951335
68,Manhattan,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475
69,Manhattan,E 138 St & 5 Av,40.81449,-73.936153
70,Queens,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001
71,Manhattan,5 Av & W 139 St,40.815484000000005,-73.935856
72,Manhattan,E 85 St & 3 Ave,40.779,-73.953
73,Manhattan,Audobon Ave & W 179 St,40.847305,-73.933291
74,Brooklyn,Leonard St & Nassau Ave,40.725,-73.95
75,Brooklyn,Driggs Ave & Lorimer St,40.721790999999996,-73.950415
76,Manhattan,2 Ave & E 31 St,40.742909000000004,-73.97706099999999
77,Manhattan,W 20 St & 7 Ave,40.742387,-73.997262
78,Brooklyn,Leonard St & Maujer St,40.710368,-73.947059
79,Brooklyn,Hancock St & Bedford Ave,40.682165999999995,-73.95399
80,Manhattan,E 17 St & Broadway,40.73704984,-73.99009296
81,Manhattan,Avenue C & E 18 St,40.730563000000004,-73.973984
82,Manhattan,W 13 St & 7 Ave,40.73781509,-73.99994661
83,Brooklyn,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
84,Manhattan,Battery Pl & Greenwich St,40.70463,-74.01507
85,Brooklyn,Kosciuszko St & Nostrand Ave,40.692,-73.95
86,Manhattan,Columbus Ave & W 95 St,40.791955,-73.968087
87,Brooklyn,Richardson St & N Henry St,40.719078,-73.942236
88,Brooklyn,57 St & 4 Ave,40.642621999999996,-74.01686600000001
89,Brooklyn,23 St & 3 Ave,40.662611,-73.998623
90,Manhattan,W 190 St & St. Nicholas Ave,40.854788,-73.929513
91,Manhattan,W 51 St & 6 Ave,40.760659999999994,-73.98042
92,Manhattan,Riverside Dr & W 78 St,40.784145,-73.983625
93,Brooklyn,Yankee Ferry Terminal,40.687065000000004,-74.016755
94,Manhattan,Laight St & Hudson St,40.721854,-74.00771800000001
95,Brooklyn,Withers St & Kingsland Ave,40.717729999999996,-73.94051
96,Brooklyn,Wyckoff St & Nevins St,40.683426000000004,-73.984275
97,Bronx,Cauldwell Ave & E 161 St,40.82188,-73.907521
98,Bronx,Cauldwell Ave & E 158 St,40.81989,-73.908351
99,Manhattan,W 100 St & Manhattan Ave,40.794000000000004,-73.965
100,Brooklyn,Metropolitan Ave & Bedford Ave,40.715348,-73.960241
101,Brooklyn,Carroll St & Washington Ave,40.668673999999996,-73.961815
102,Manhattan,Adam Clayton Powell Blvd & W 123 St,40.807831,-73.949373
103,Manhattan,Forsyth St & Broome St,40.718939,-73.99266300000001
104,Manhattan,Riverside Dr & W 82 St,40.787208,-73.98128100000001
105,Manhattan,8 Ave & W 31 St,40.750585,-73.994685
106,Brooklyn,Hoyt St & Warren St,40.684355,-73.989016
107,Manhattan,E 81 St & 3 Ave,40.77573034,-73.9567526
108,Manhattan,Mercer St & Spring St,40.72362738,-73.99949601
109,Manhattan,Adam Clayton Powell Blvd & W 130 St,40.812346000000005,-73.946168
110,Brooklyn,Willoughby St & Fleet St,40.69196566,-73.9813018
111,Brooklyn,Jefferson Ave & Evergreen Ave,40.689890000000005,-73.91458
112,Queens,Forest Ave & Summerfield St,40.699220000000004,-73.89795
113,Bronx,Franklin Ave & E 169 St,40.83171,-73.90208
114,Manhattan,E 16 St & 5 Ave,40.736999999999995,-73.992
115,Manhattan,W 22 St & 10 Ave,40.74692,-74.00451899999999
116,Manhattan,W 4 St & 7 Ave S,40.734010999999995,-74.002939
117,Brooklyn,Myrtle Ave & Marcy Ave,40.695398,-73.949549
118,Bronx,Walton Ave & E 183 St,40.858472,-73.90266
119,Brooklyn,12 Ave & 36 St,40.643546,-73.986418
120,Manhattan,W 84 St & Broadway,40.786794,-73.977112
121,Brooklyn,Commerce St & Van Brunt St,40.681212,-74.00860899999999
122,Manhattan,5 Ave & E 29 St,40.746,-73.986
123,Bronx,E 149 St & Morris Ave,40.81734,-73.922962
124,Manhattan,Broadway & Moylan Pl,40.8143256,-73.9590255
125,Brooklyn,Park Pl & Franklin Ave,40.67418060000001,-73.95649470000001
