endStationName,latitude,longitude,bikeBehaviorGroup,pagerank
Astor Pl,40.730054,-73.99107,subway,1
Canal St,40.718803,-74.000193,subway,1
50th St,40.761728,-73.983849,subway,1
Bergen St,40.68086214,-73.97499915,subway,1
Pennsylvania Ave,40.66471445,-73.89488591,subway,1
238th St,40.884667,-73.90087,subway,1
Cathedral Pkwy (110th St),40.80058156,-73.95806671,subway,1
Kingston - Throop Aves,40.679919,-73.940859,subway,1
65th St,40.74971953,-73.89878838,subway,1
36th St,40.75196004,-73.92901818,subway,1
Delancey St - Essex St,40.71830606,-73.9874094,subway,1
Van Siclen Ave,40.67802821,-73.89165773,subway,1
Norwood Ave,40.68152,-73.879626,subway,1
104th-102nd Sts,40.695166,-73.844435,subway,1
DeKalb Ave,40.69064812,-73.98177094,subway,1
Beach 105th St,40.58326844,-73.82758075,subway,1
Beach 90th St,40.58809156,-73.8136514,subway,1
Freeman St,40.82998745,-73.89175225,subway,1
Intervale Ave,40.82214213,-73.89661738,subway,1
182nd-183rd Sts,40.856093,-73.900741,subway,1
174th-175th Sts,40.8459,-73.910136,subway,1
167th St,40.833769,-73.918432,subway,1
Mets - Willets Point,40.754622,-73.845625,subway,1
Junction Blvd,40.749145,-73.869527,subway,1
Flushing - Main St,40.7596,-73.83003,subway,1
Buhre Ave,40.84681,-73.832569,subway,1
3rd Ave - 138th St,40.810476,-73.926138,subway,1
Castle Hill Ave,40.834255,-73.851222,subway,1
Brooklyn Bridge - City Hall,40.713065,-74.004131,subway,1
Zerega Ave,40.836488,-73.847036,subway,1
Grand Central - 42nd St,40.75180743,-73.9767133,subway,1
33rd St,40.746081,-73.982076,subway,1
96th St,40.785672,-73.95107,subway,1
77th St,40.77362,-73.959874,subway,1
Chauncey St,40.6828513,-73.91038357,subway,1
Union St,40.67731567,-73.98311,subway,1
Elmhurst Ave,40.74237008,-73.88203475,subway,1
Ralph Ave,40.678822,-73.920786,subway,1
Pelham Pkwy,40.85719241,-73.86748068,subway,1
Gun Hill Rd,40.87783939,-73.86613411,subway,1
Nereid Ave (238 St),40.89828652,-73.85431531,subway,1
Franklin Ave,40.67076515,-73.95809974,subway,1
Simpson St,40.82397684,-73.8930664,subway,1
Bronx Park East,40.84876867,-73.86835609,subway,1
Winthrop St,40.65665931,-73.95007935,subway,1
Van Siclen Ave,40.66551796,-73.88940492,subway,1
149th St - Grand Concourse,40.81830344,-73.92738475,subway,1
161st St - Yankee Stadium,40.82823033,-73.925692,subway,1
Lexington Ave - 59th St,40.762526,-73.967967,subway,1
E 149th St,40.812118,-73.904098,subway,1
Morrison Av - Soundview,40.829521,-73.874516,subway,1
Whitlock Ave,40.826525,-73.886283,subway,1
St Lawrence Ave,40.831509,-73.867618,subway,1
Woodside - 61st St,40.74563,-73.902984,subway,1
Far Rockaway - Mott Ave,40.603995,-73.755405,subway,1
72nd St,40.7755194,-73.97633658,subway,1
96th St,40.7916188,-73.96460246,subway,1
168th St,40.840719,-73.939561,subway,1
Kingsbridge Rd,40.866978,-73.893509,subway,1
42nd St - Bryant Pk,40.754184,-73.984591,subway,1
Prospect Park,40.66163346,-73.9620313,subway,1
55th St,40.63147876,-73.99534883,subway,1
Jamaica - Van Wyck,40.70289855,-73.81701287,subway,1
Kew Gardens - Union Tpke,40.71403482,-73.83037027,subway,1
Sutphin Blvd - Archer Av,40.70038242,-73.80800472,subway,1
Court Sq - 23rd St,40.74776812,-73.9460547,subway,1
67th Ave,40.72650548,-73.85286048,subway,1
Grand Ave - Newtown,40.73681342,-73.87722086,subway,1
Ditmas Ave,40.63611867,-73.978172,subway,1
Classon Ave,40.688889,-73.95999,subway,1
Broadway,40.70612658,-73.95031226,subway,1
Lorimer St,40.714072,-73.950248,subway,1
Sutter Ave,40.669145,-73.901916,subway,1
Wilson Ave,40.68886654,-73.9039586,subway,1
Halsey St,40.68641527,-73.91663888,subway,1
Lorimer St,40.703844,-73.947355,subway,1
8th Ave,40.634971,-74.011516,subway,1
36th Ave,40.756442,-73.929862,subway,1
Broadway,40.761432,-73.925823,subway,1
Times Sq - 42nd St,40.754612,-73.986768,subway,1
Grand Central - 42nd St,40.75276867,-73.979189,subway,1
Park Pl,40.67477167,-73.957624,subway,1
111th St,40.684331,-73.832163,subway,1
W 4th St - Washington Sq (Lower),40.73225449,-74.00030815,subway,1
51st St,40.757107,-73.97192,subway,1
86th St,40.788644,-73.976218,subway,1
233rd St,40.89314324,-73.8573624,subway,1
