,zip,lat,long,borough
0,10001,40.7484,-73.9967,Manhattan
1,10002,40.7152,-73.9877,Manhattan
2,10003,40.7313,-73.9892,Manhattan
3,10004,40.7143,-74.006,Manhattan
4,10005,40.7056,-74.0083,Manhattan
5,10006,40.7085,-74.0135,Manhattan
6,10007,40.7139,-74.007,Manhattan
7,10009,40.7262,-73.9796,Manhattan
8,10010,40.7375,-73.9813,Manhattan
9,10011,40.7402,-73.9996,Manhattan
10,10012,40.7255,-73.9983,Manhattan
11,10013,40.7185,-74.0025,Manhattan
12,10014,40.7339,-74.0054,Manhattan
13,10015,,,Manhattan
14,10016,40.7443,-73.9781,Manhattan
15,10017,40.7517,-73.9707,Manhattan
16,10018,40.7547,-73.9925,Manhattan
17,10019,40.7651,-73.9858,Manhattan
18,10020,40.7354,-73.9968,Manhattan
19,10021,40.7685,-73.9588,Manhattan
20,10022,40.7571,-73.9657,Manhattan
21,10023,40.7764,-73.9827,Manhattan
22,10024,40.7864,-73.9764,Manhattan
23,10025,40.7975,-73.9683,Manhattan
24,10026,40.8019,-73.9531,Manhattan
25,10027,40.8116,-73.955,Manhattan
26,10028,40.7763,-73.9529,Manhattan
27,10029,40.7918,-73.9447,Manhattan
28,10030,40.8183,-73.9426,Manhattan
29,10031,40.8246,-73.9507,Manhattan
30,10032,40.8382,-73.942,Manhattan
31,10033,40.8496,-73.9356,Manhattan
32,10034,40.8662,-73.9221,Manhattan
33,10035,40.8011,-73.9371,Manhattan
34,10036,40.7597,-73.9918,Manhattan
35,10037,40.8135,-73.9381,Manhattan
36,10038,40.7101,-74.0013,Manhattan
37,10039,40.8265,-73.9383,Manhattan
38,10040,40.8583,-73.9296,Manhattan
39,10041,40.7038,-74.0098,Manhattan
40,10044,40.7618,-73.9505,Manhattan
41,10045,40.7086,-74.0087,Manhattan
42,10048,,,Manhattan
43,10055,40.7808,-73.9772,Manhattan
44,10060,40.7808,-73.9772,Manhattan
45,10069,40.778,-73.9884,Manhattan
46,10090,40.7808,-73.9772,Manhattan
47,10095,,,Manhattan
48,10098,,,Manhattan
49,10099,,,Manhattan
50,10103,40.7603,-73.9762,Manhattan
51,10104,40.7609,-73.9799,Manhattan
52,10105,40.7628,-73.9785,Manhattan
53,10106,40.7652,-73.9804,Manhattan
54,10107,40.7664,-73.9827,Manhattan
55,10110,40.754,-73.9808,Manhattan
56,10111,40.7592,-73.9778,Manhattan
57,10112,40.7593,-73.9798,Manhattan
58,10115,40.8111,-73.9642,Manhattan
59,10118,40.749,-73.9865,Manhattan
60,10119,40.7808,-73.9772,Manhattan
61,10120,40.7506,-73.9894,Manhattan
62,10121,40.7496,-73.9919,Manhattan
63,10122,40.7518,-73.9922,Manhattan
64,10123,40.7515,-73.9905,Manhattan
65,10128,40.7816,-73.9511,Manhattan
66,10151,40.7634,-73.974,Manhattan
67,10152,40.7589,-73.973,Manhattan
68,10153,40.7641,-73.9735,Manhattan
69,10154,40.7583,-73.9735,Manhattan
70,10155,40.7611,-73.968,Manhattan
71,10158,40.7494,-73.9758,Manhattan
72,10161,40.7808,-73.9772,Manhattan
73,10162,40.7699,-73.9511,Manhattan
74,10165,40.7524,-73.9791,Manhattan
75,10166,40.7546,-73.9762,Manhattan
76,10167,40.7549,-73.975,Manhattan
77,10168,40.7519,-73.9768,Manhattan
78,10169,40.7547,-73.9766,Manhattan
79,10170,40.7526,-73.9755,Manhattan
80,10171,40.7564,-73.9748,Manhattan
81,10172,40.7558,-73.9753,Manhattan
82,10173,40.7543,-73.9796,Manhattan
83,10174,40.7517,-73.9752,Manhattan
84,10175,40.7543,-73.9798,Manhattan
85,10176,40.7556,-73.9789,Manhattan
86,10177,40.7553,-73.9761,Manhattan
87,10178,40.7514,-73.9785,Manhattan
88,10199,40.7503,-74.0006,Manhattan
89,10270,40.7069,-74.0082,Manhattan
90,10271,40.7089,-74.0111,Manhattan
91,10278,40.7152,-74.0038,Manhattan
92,10279,40.7127,-74.0078,Manhattan
93,10280,40.7105,-74.0163,Manhattan
94,10281,40.7146,-74.015,Manhattan
95,10282,40.7166,-74.0146,Manhattan
96,10301,40.6316,-74.0927,Staten
97,10302,40.6306,-74.1379,Staten
98,10303,40.6301,-74.1607,Staten
99,10304,40.6102,-74.0878,Staten
100,10305,40.5973,-74.0768,Staten
101,10306,40.5682,-74.1184,Staten
102,10307,40.5085,-74.2445,Staten
103,10308,40.5518,-74.1526,Staten
104,10309,40.5352,-74.2116,Staten
105,10310,40.6324,-74.1171,Staten
106,10311,40.6052,-74.1795,Staten
107,10312,40.5457,-74.1792,Staten
108,10314,40.6039,-74.1472,Staten
109,10451,40.8222,-73.9217,Bronx
110,10452,40.8376,-73.9216,Bronx
111,10453,40.852,-73.9129,Bronx
112,10454,40.8085,-73.9198,Bronx
113,10455,40.8153,-73.9072,Bronx
114,10456,40.8316,-73.9099,Bronx
115,10457,40.8486,-73.8999,Bronx
116,10458,40.8633,-73.8895,Bronx
117,10459,40.8247,-73.894,Bronx
118,10460,40.8409,-73.8794,Bronx
119,10461,40.8465,-73.841,Bronx
120,10462,40.8434,-73.8602,Bronx
121,10463,40.8798,-73.9067,Bronx
122,10464,40.8469,-73.7874,Bronx
123,10465,40.8261,-73.8196,Bronx
124,10466,40.8904,-73.8503,Bronx
125,10467,40.8737,-73.8712,Bronx
126,10468,40.8662,-73.9003,Bronx
127,10469,40.8702,-73.8495,Bronx
128,10470,40.9,-73.8622,Bronx
129,10471,40.9011,-73.9053,Bronx
130,10472,40.8295,-73.8716,Bronx
131,10473,40.8194,-73.8606,Bronx
132,10474,40.8139,-73.8841,Bronx
133,10475,40.8729,-73.8278,Bronx
134,11004,40.7481,-73.7114,Queens
135,11101,40.7446,-73.9345,Queens
136,11102,40.7706,-73.9265,Queens
137,11103,40.7627,-73.9149,Queens
138,11104,40.7436,-73.9216,Queens
139,11105,40.7763,-73.911,Queens
140,11106,40.7608,-73.9295,Queens
141,11109,40.7454,-73.9575,Queens
142,11201,40.694,-73.9903,Brooklyn
143,11203,40.6505,-73.9349,Brooklyn
144,11204,40.6179,-73.9856,Brooklyn
145,11205,40.6924,-73.9666,Brooklyn
146,11206,40.7012,-73.9436,Brooklyn
147,11207,40.6705,-73.894,Brooklyn
148,11208,40.6762,-73.8736,Brooklyn
149,11209,40.6251,-74.0303,Brooklyn
150,11210,40.6281,-73.9467,Brooklyn
151,11211,40.7095,-73.9563,Brooklyn
152,11212,40.6625,-73.9145,Brooklyn
153,11213,40.67,-73.9367,Brooklyn
154,11214,40.6016,-73.9968,Brooklyn
155,11215,40.6669,-73.9828,Brooklyn
156,11216,40.6794,-73.9496,Brooklyn
157,11217,40.6816,-73.9798,Brooklyn
158,11218,40.6424,-73.9758,Brooklyn
159,11219,40.6336,-73.996,Brooklyn
160,11220,40.6412,-74.0133,Brooklyn
161,11221,40.6907,-73.9274,Brooklyn
162,11222,40.7272,-73.9498,Brooklyn
163,11223,40.5979,-73.9743,Brooklyn
164,11224,40.5767,-73.9884,Brooklyn
165,11225,40.6628,-73.9546,Brooklyn
166,11226,40.6467,-73.957,Brooklyn
167,11228,40.6174,-74.0121,Brooklyn
168,11229,40.6011,-73.9475,Brooklyn
169,11230,40.6225,-73.965,Brooklyn
170,11231,40.6794,-74.0014,Brooklyn
171,11232,40.6521,-74.0018,Brooklyn
172,11233,40.6784,-73.9211,Brooklyn
173,11234,40.6205,-73.9239,Brooklyn
174,11235,40.5839,-73.9536,Brooklyn
